Taxon,ERR1960630,ERR1960631,ERR1960632,ERR1960633,ERR1960634,ERR1960635,ERR1960636,ERR1960637,ERR1960638,ERR1960639,ERR1960640,ERR1960641,ERR1960642,ERR1960643,ERR1960644,ERR1960645,ERR1960646,ERR1960647,ERR1960648,ERR1960649,ERR1960650,ERR1960651,ERR1960652,ERR1960653,ERR1960654,ERR1960655,ERR1960656,ERR1960657,ERR1960658,ERR1960659,ERR1960660,ERR1960661,ERR1960662,ERR1960663,ERR1960664,ERR1960665,ERR1960666,ERR1960667,ERR1960668,ERR1960669,ERR1960670,ERR1960671,ERR1960672,ERR1960673,ERR1960674,ERR1960675,ERR1960676,ERR1960677,ERR1960678,ERR1960679,ERR1960680,ERR1960681,ERR1960682,ERR1960683,ERR1960684,ERR1960685,ERR1960686,ERR1960687,ERR1960688,ERR1960689,ERR1960690,ERR1960691,ERR1960692,ERR1960693,ERR1960694,ERR1960695,ERR1960696,ERR1960697,ERR1960698,ERR1960699,ERR1960700,ERR1960701,ERR1960702,ERR1960703,ERR1960704,ERR1960705,ERR1960706,ERR1960707,ERR1960708,ERR1960709,ERR1960710,ERR1960711,ERR1960712,ERR1960713,ERR1960714,ERR1960715,ERR1960716,ERR1960717,ERR1960718,ERR1960719,ERR1960720,ERR1960721,ERR1960722,ERR1960723,ERR1960724,ERR1960725,ERR1960726,ERR1960727,ERR1960728,ERR1960729,ERR1960730,ERR1960731,ERR1960732,ERR1960733,ERR1960734,ERR1960735,ERR1960736,ERR1960737,ERR1960738,ERR1960739,ERR1960740,ERR1960741,ERR1960742,ERR1960743,ERR1960744,ERR1960745,ERR1960746,ERR1960747,ERR1960748,ERR1960749,ERR1960750,ERR1960751,ERR1960752,ERR1960753,ERR1960754,ERR1960755,ERR1960756,ERR1960757,ERR1960758,ERR1960759,ERR1960760,ERR1960761,ERR1960762,ERR1960763,ERR1960764,ERR1960765,ERR1960766,ERR1960767,ERR1960768,ERR1960769,ERR1960770,ERR1960771,ERR1960772,ERR1960773,ERR1960774,ERR1960775,ERR1960776,ERR1960777,ERR1960778,ERR1960779,ERR1960780,ERR1960781,ERR1960782,ERR1960783,ERR1960784,ERR1960785,ERR1960786,ERR1960787,ERR1960788,ERR1960789,ERR1960790,ERR1960791,ERR1960792,ERR1960793,ERR1960794,ERR1960795,ERR1960797,ERR1960798,ERR1960799,ERR1960800,ERR1960801,ERR1960802,ERR1960803,ERR1960804,ERR1960805,ERR1960806,ERR1960807,ERR1960808,ERR1960809,ERR1960810,ERR1960811,ERR1960812,ERR1960813,ERR1960814,ERR1960815,ERR1960816,ERR1960817,ERR1960818,ERR1960819,ERR1960820,ERR1960821,ERR1960822,ERR1960823,ERR1960824,ERR1960825,ERR1960826,ERR1960827,ERR1960828,ERR1960829,ERR1960830,ERR1960831,ERR1960832,ERR1960833
Unassigned,0.026956521739130438,0.0,0.5030120481927711,0.0,0.4545454545454545,0.04580152671755725,0.004375,0.0,0.0,0.4,0.0,0.07150368033648791,0.17983490566037735,0.3670886075949367,0.6506849315068494,0.0,0.0,0.21315529179030662,0.0,0.19955156950672645,0.0,0.0,0.15749364944961897,0.08691772264858114,0.13769123783031992,0.0,0.0029904306220095694,0.40823895622226636,0.26199261992619927,0.34394904458598724,0.00683371298405467,0.42474916387959866,0.38673690734428257,0.21642124051762607,0.00777000777000777,0.15358361774744025,0.2084017836188688,0.10010214504596528,0.0,0.0,0.09183673469387756,0.2624633431085044,0.0,0.048458149779735685,0.11175785797438884,0.0,0.36292428198433424,0.0,1.0,0.0,0.0,0.0,0.5181255526083113,0.1016949152542373,0.0,0.1682286785379569,0.15030876363158585,0.4862201290772719,0.21068819684736642,0.16601983613626564,0.15220588235294116,0.3917771057546917,0.33002032979444323,0.236318407960199,0.21979865771812077,0.0067226890756302525,0.2219959266802444,0.3937908496732026,0.16122840690978887,0.047515343496337355,0.4185439111981717,0.30876494023904383,0.3423728813559322,0.09193519024212633,0.18906634682153906,0.1620133700353913,0.282756551310262,0.1233109096226967,0.15449927431059507,0.24351576782449724,0.3092711370262391,0.24255045374509,0.2636905837701066,0.1287686627066945,0.15614588812905486,0.012971698113207548,0.37915153878018465,0.30841900527924426,0.2540692512577686,0.10347520499804763,0.2678977601295347,0.2716346153846154,0.17809124972448756,0.09655172413793103,0.10750273507226349,0.0,0.29096557079989643,0.26227344712299844,0.14848630466122056,0.09919300605245461,0.0,0.1120284927958556,0.2656668452062132,0.07525083612040133,0.12559538731511657,0.11070137382501807,0.015155847869602517,0.09702690554164257,0.1389772811366832,0.04504300588501584,0.13493975903614458,0.09315746084089035,0.07315128562886188,0.07523079945000982,0.1550012725884449,0.16089743589743588,0.013061224489795919,0.0,0.8713080168776371,0.17344896597731824,0.0,0.4974924774322969,0.3280770915462111,0.27869612235439517,0.0424920610917889,0.7522740610328639,0.17707103673356014,0.162394632719766,0.21904184354154033,0.24026845637583893,0.1110780447883342,0.22311732671672088,0.46997270245677886,0.13422156427337775,0.6569607167470709,0.24397797660013765,0.16956670078471514,0.6350751004865665,0.4001717475311293,0.46662650602409633,0.17764441110277568,0.4092575618698442,0.1307529366454843,0.25993676603432697,0.5087108013937283,0.24163265306122447,0.1,0.31780821917808216,0.25619834710743805,0.0,0.006635071090047394,0.09828009828009829,0.0,0.01990049751243781,0.08499630450849964,0.09046052631578948,0.29089275014979027,0.19791666666666666,0.0,0.5120574653668548,0.009216589861751152,0.30145844799119426,0.32977607350866395,0.37758603784684774,0.40012970168612194,0.3870967741935484,0.2703168786376374,0.3359461114513167,0.0,0.0,0.0,0.9604395604395605,0.0936986301369863,0.0,0.04411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14634146341463414,0.0,1.0,0.05548387096774193,0.46314258001939856,0.0,0.0,0.0,0.0,0.0,0.7433155080213903,0.27071369975389664,0.17767131847531764,0.35505617977528087,0.0,0.13078421821724306,0.21085594989561587,0.0,0.6785714285714286,0.0,0.040132304299889746
k__Archaea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004172461752433936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048458149779735685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004518865165252998,0.020537010159651668,0.0,0.0,0.0,0.0,0.006405522555787446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030082727500626723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029914529914529917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Archaea; p__Crenarchaeota; c__Thermoprotei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018394429115753514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Archaea; p__[Parvarchaeota]; c__[Parvarchaea]; o__YLA114; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051311953352769675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria,0.9652173913043478,1.0,0.4969879518072289,0.0,0.5454545454545453,0.7595419847328246,0.860625,0.9650349650349649,0.9999999999999999,0.6000000000000001,0.9999999999999999,0.7875920084121978,0.7243514150943394,0.6329113924050633,0.34931506849315064,0.0,0.8421052631578947,0.7868447082096932,0.8144796380090498,0.6509715994020926,0.0,1.0,0.842506350550381,0.913082277351419,0.8581363004172461,0.9460500963391137,0.9970095693779908,0.5917610437777334,0.7281672816728165,0.6560509554140127,0.9368695086234952,0.5752508361204013,0.557793616361946,0.783578759482374,0.9867909867909868,0.8344709897610922,0.75287491199249,0.8998978549540347,0.6041666666666666,1.0,0.9081632653061225,0.7375366568914956,1.0,0.9030837004405287,0.8882421420256111,0.565,0.6370757180156659,1.0,0.0,0.8571428571428571,1.0,0.9283990345937249,0.4818744473916887,0.0,0.0,0.8317713214620431,0.8445670739718828,0.46781789638932497,0.7893118031526336,0.7787839586028462,0.8477941176470587,0.580249933291826,0.6540546645583917,0.4751243781094527,0.7472035794183446,0.9042016806722688,0.598592853175338,0.6062091503267975,0.8387715930902111,0.854088299346664,0.5612144955925563,0.6912350597609561,0.6400616332819722,0.8993264154378298,0.7487532352755506,0.7133307117577665,0.6521804360872178,0.8358730622989174,0.8249637155297532,0.6841579067641679,0.5905539358600584,0.7557226059867265,0.7363094162298934,0.7741531545994542,0.8394704541469401,0.9870283018867922,0.6056677794293235,0.6915809947207556,0.7346848179934891,0.8965247950019524,0.7308107482940748,0.7283653846153844,0.8136213356843729,0.9034482758620693,0.8605401047964532,0.7961956521739131,0.7090344292001036,0.6692767904275907,0.8515136953387796,0.9008069939475455,0.9008620689655172,0.8277480977820948,0.7293302487777638,0.8846153846153845,0.8643770368513413,0.8820318148951554,0.9802688018301403,0.8580235022153726,0.8437800636424184,0.897012222725215,0.8365152919369788,0.8697444352844187,0.843133346621487,0.908073070123748,0.7961313311275136,0.7747863247863246,0.9869387755102041,1.0,0.12869198312236285,0.8163775850567043,1.0,0.48826479438314946,0.6719229084537891,0.7213038776456047,0.9393618629971269,0.24772593896713613,0.7899451426984236,0.8238431102700843,0.7691934505761068,0.759731543624161,0.888921955211666,0.7655076853671902,0.38580527752502275,0.8657784357266222,0.3056512749827705,0.7560220233998624,0.830433299215285,0.36492489951343354,0.5130957492486046,0.5333734939759036,0.8223555888972246,0.5907424381301558,0.8692470633545155,0.7400632339656731,0.49128919860627174,0.7325170068027211,0.9,0.6821917808219176,0.7438016528925623,0.9999999999999999,0.7004739336492897,0.87960687960688,0.9999999999999999,0.6285240464344936,0.8314855875831481,0.9095394736842105,0.7091072498502097,0.8020833333333334,1.0,0.48794253463314524,0.8617511520737327,0.6818932305998898,0.6522085157182649,0.5936856554564173,0.437094682230869,0.6129032258064516,0.6604871739599051,0.6640538885486833,0.0,0.0,0.6818181818181818,0.03956043956043956,0.9063013698630137,0.8707482993197279,0.8529411764705882,0.0,0.8235294117647058,1.0,0.0,1.0,0.6444444444444444,0.0,0.8536585365853662,0.894736842105263,0.0,0.9445161290322578,0.478176527643065,1.0,0.9999999999999999,1.0,0.0,1.0,0.25668449197860965,0.7292863002461034,0.8223286815246821,0.6449438202247191,0.9444444444444444,0.8404773502191915,0.789144050104384,1.0,0.3214285714285714,0.6363636363636364,0.9512679162072768
k__Bacteria; p__Actinobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022113022113022112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
